KAB_KOTA,KOMPOSIT,NCPR,KEMISKINAN(%),PENGELUARAN_PANGAN(%),TANPA_LISTRIK(%),TANPA_AIR_BERSIH(%),Lama_Sekolah_Perempuan_(tahun),Rasio_Tenaga_Kesehatan,Angka_Harapan_Hidup_(tahun),Stunting_(%),IKP,IKP_Ranking,INDIKATOR
ACEH BARAT,5,0.68,19.31,40.58,1.45,29.88,9.32,2.75,67.72,32.63,74.9,219,Agak Rentan
ACEH BARAT DAYA,5,0.35,17.1,57.39,1.96,55.03,8.59,2.55,64.65,35.41,70.53,276,Rentan
ACEH BESAR,6,0.48,14.47,36.78,1.03,11.35,9.82,1.72,69.59,38.72,81.67,73,Sangat Tahan
ACEH JAYA,6,0.49,14.16,50.78,1.36,24.51,8.6,8.45,66.88,34,76.79,181,Agak Rentan
ACEH SELATAN,5,0.69,14.01,55.21,0.75,50.19,8.5,5.64,64.02,35.93,70.06,282,Rentan
ACEH SINGKIL,2,5,21.25,31.52,0.29,46.02,8.33,2.93,67.16,26.94,45.88,385,Sangat Rentan
ACEH TAMIANG,6,1.01,14.21,29.25,0.33,22.92,8.92,2.51,69.28,33.42,77.2,170,Agak Rentan
ACEH TENGAH,5,0.88,15.58,35.06,0.16,39.5,9.77,3.82,68.62,39.8,74.05,232,Agak Rentan
ACEH TENGGARA,5,0.41,14.29,50.21,0.86,37.51,9.18,4.84,67.77,45.3,75.28,208,Agak Rentan
ACEH TIMUR,5,0.42,14.49,43.55,0.68,41.64,8.18,3.2,68.44,42.8,75.08,215,Agak Rentan
ACEH UTARA,5,0.31,18.27,57.97,0,45.94,8.39,1.54,68.61,32.53,73.77,234,Agak Rentan
AGAM,6,0.38,6.76,36.56,1.25,36.07,8.97,2.86,71.83,30.04,82.49,56,Sangat Tahan
ALOR,4,0.96,21.63,62.3,24.37,40.82,7.82,2.61,60.8,45.51,62.3,331,Sangat Rentan
ASAHAN,5,2.13,10.25,31.48,0.29,18.22,8.71,2.65,67.79,24.87,72.29,252,Rentan
ASMAT,1,5,27.41,39.74,20.18,96.57,4.08,75.63,56.88,32.6,22.85,408,Sangat Rentan
BADUNG,6,1.12,1.98,6.62,0,5.44,9.62,0.17,74.71,25.24,89.01,3,Sangat Tahan
BALANGAN,6,0.82,5.59,31.62,1.15,28.65,7.02,2.4,67.37,36.22,78.27,146,Tahan
